Goal Size,WVF Grid Score,SARSA Grid Score
1, -0.35413237229722716, -0.5128607591191707
10, -0.29424436353569283, -0.48567036069374475
20, -0.2258230589764465, -0.5865149484874379
30, -0.22670901249050074, -0.4893946377060221
35, -0.27038577942561715, -0.462210621871022
40, -0.29540429348274155, -0.638146280323895
45, -0.18418789202996017, -0.5271871751536753
50, -0.1743987587609588, -0.4992650462473757
55, -0.3650659310319027, -0.42850014458409075
60, -0.050632572957055075, -0.5096306763136459
65, -0.24224599255586451, -0.6608568461509077
70, -0.25213114059270186, -0.7136033869549951
75, -0.17072380385253857, -0.46356598094967716
80, -0.2036355598742447, -0.4623229359761115
85, -0.10050719062933226, -0.4165436318161504
90, -0.2960286866872252, -0.3808594675532581
95, -0.14968310788178002, -0.39168890644004295
100, -0.23225096670179624, -0.47504180750664765
